id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,baths,crime_count,distance_to_statue_of_liberty,distance_to_times_square,distance_to_central_park,distance_to_empire_state_building,distance_to_brooklyn_bridge,distance_to_rockefeller_center,distance_to_one_world_trade_center,distance_to_broadway,distance_to_grand_central_terminal,distance_to_the_metropolitan_museum_of_art,distance_to_american_museum_of_natural_history,distance_to_9/11_memorial_and_museum,distance_to_fifth_avenue,distance_to_chrysler_building,distance_to_the_high_line
772002179366812090,Manhattan,40.8233127,-73.9531749,Private room,75.0,30,5,2023-06-06,0.38,1,180,1,3.6,1,1,1.0,31809,16.775121944769072,7.651323501308906,4.436267629225602,8.717265895359771,13.544366880013602,7.4941818092140515,13.299347269074389,7.62002282841488,8.105922100689254,4.951825411383416,4.98677524611406,13.426737687275523,5.430855761826796,8.183339248663726,9.434533563930774
53461709,Queens,40.72914,-73.86007,Entire home/apt,499.0,30,7,2023-09-11,0.29,8,365,3,4.14,3,9,1.0,29765,16.16609834819976,11.043007700362132,11.03565622401633,10.785834036368442,11.810342352681378,10.519942042573044,13.048269917075574,10.993981707964847,10.212995144372247,10.334634786911558,11.213463835561742,13.068103021221214,10.272179480355963,10.02650574117015,12.369654084217833
810401147741395709,Bronx,40.8552755,-73.886547,Entire home/apt,200.0,30,3,2023-02-18,0.27,1,268,3,4.67,3,3,1.0,32248,22.754143638989984,13.553461959185709,10.402570269803656,14.470705834167045,19.0125039363653,13.241861599144771,19.110914283779486,13.509491093580383,13.721686785960046,10.619313355471721,11.034571564701219,19.225238757759218,11.099469611909184,13.732629980874139,15.534591880220024
804311125437360407,Manhattan,40.83111293676631,-73.94507674760749,Private room,51.0,30,9,2023-06-18,0.78,2,351,9,4.11,1,1,1.0,31809,17.85967188766745,8.709291242241088,5.47751737530561,9.761079594953756,14.570370702582034,8.530017661252812,14.36418262340946,8.676178637860222,9.126826051120752,5.9460743907532505,6.04744130545572,14.490451074448526,6.433041759084535,9.19495260956043,10.520257101980217
46047742,Manhattan,40.81754,-73.94275,Private room,100.0,30,40,2023-08-21,1.25,2,364,3,4.6,2,4,1.0,31809,16.642275227249563,7.4331984982650265,4.199823078831867,8.44431858577511,13.20459053008534,7.203881103639483,13.083469091974795,7.395510763723702,7.769647195419112,4.574599404426321,4.809472136968351,13.206236349672706,5.067162453876744,7.822513405744305,9.330993097981315
827061404665157903,Queens,40.74659135980254,-73.85433032502898,Shared room,48.0,30,7,2023-08-09,0.66,7,365,7,4.29,1,1,1.0,29765,17.249126611587293,11.102395623308597,10.508482578968072,11.046477843365075,12.82764367120709,10.560718861589777,13.920685360208294,11.048975922072644,10.375163823492626,9.87316752869823,10.792238739358183,13.95844301563246,9.90619040020287,10.206752874230554,12.673610634495649
16428383,Bronx,40.89338,-73.89789,Entire home/apt,130.0,30,39,2023-09-03,0.49,1,281,6,4.95,1,3,1.0,32248,25.837220428883388,16.658402456822653,13.418619922942336,17.682029015784742,22.430665787234304,16.442074393410458,22.314696566007854,16.622582920952205,17.00524453726973,13.811404912307548,14.008459271248432,22.43871743099919,14.304192915451333,17.05286025387879,18.499470400265935
50918002,Bronx,40.86069,-73.90523,Private room,40.0,30,103,2023-09-30,3.45,2,63,39,4.93,1,1,1.0,32248,22.382012530566758,13.165797845563395,9.940609285393231,14.153099892678341,18.843030872046832,12.911973318213224,18.802816852140673,13.12658072995397,13.447777879418728,10.269455177533692,10.552622610720562,18.923392691890818,10.760966999931803,13.483119506091516,15.073874883459059
595656476182329187,Bronx,40.84057,-73.90896,Private room,120.0,30,9,2023-06-29,0.56,2,365,1,4.89,1,1,1.0,32248,20.333009392514704,11.116923060049531,7.9361816769957,12.063457287301627,16.685707144002883,10.827201308990265,16.713600453570496,11.074594604183332,11.33293205936575,8.190278743263475,8.564518191437845,16.83083213686856,8.676318656121229,11.355770204642008,13.077202285468443
2310594,Brooklyn,40.70943,-73.94011,Entire home/apt,111.0,30,247,2023-07-15,2.05,2,31,2,4.6,2,1,1.0,39821,9.082057358888779,6.68153764401497,8.741510761974231,5.810630085001136,4.798273283442312,6.373501974840254,6.186822807063581,6.660797333050334,5.74107381650705,8.024680464030267,8.488419839143491,6.179956962182417,7.643220704253553,5.553342985354116,6.933041873335363
